Wilayah,Dapil,Kecamatan,Kelurahan,TPS,PKB,Gerindra,PDIP,Golkar,NasDem,Garuda,Berkarya,PKS,Perindo,PPP,PSI,PAN,Hanura,Demokrat,PBB,PKPI
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 001,2,8,77,0,17,0,3,15,3,0,50,4,0,3,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 002,2,9,102,5,21,0,1,7,2,1,57,0,0,2,0,1
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 003,4,18,110,5,15,1,4,12,4,2,0,1,0,8,0,1
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 004,9,7,76,1,10,0,2,5,3,3,43,4,1,6,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 005,10,17,47,8,10,0,3,14,4,1,31,4,1,7,0,4
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 006,6,17,52,4,11,0,0,11,0,2,34,3,0,37,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 007,1,15,53,1,12,0,2,19,5,3,11,8,1,58,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 008,4,18,80,4,17,4,0,9,4,1,37,2,0,8,0,1
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 009,2,11,117,4,14,0,1,18,5,6,17,1,1,8,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 010,8,27,77,3,10,2,0,22,5,1,18,3,6,16,1,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 011,2,5,85,3,16,0,2,7,3,3,40,2,1,2,1,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 012,5,12,82,5,15,1,1,10,8,2,23,2,1,2,0,1
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 013,5,20,67,3,16,1,2,42,8,2,32,4,0,10,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 014,2,13,121,1,11,1,0,20,4,2,41,1,1,6,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 015,2,17,79,5,17,0,2,34,8,5,59,5,0,9,1,1
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 016,11,21,82,7,12,0,4,9,8,6,38,2,4,12,0,0
